1,1,,,,,1
1,2,,,,,1
1,3,,,,,1
1,4,,,,,1
1,5,2065/2,77,68,4,1
1,6,2065/2,61,17,1,1
1,7,2066/2,80,34,1,1
1,8,2067/1,61,102,5,1
1,9,2067/1,66,68,4,1
1,10,2067/2,60,68,4,1
1,11,2067/2,89,34,2,1
1,12,2067/2,61,68,4,1
1,13,2065/2,61,34,2,2
1,14,2065/2,65,34,1,2
1,15,2066/1,61,68,4,2
1,16,2066/1,74,68,4,2
1,17,,,102,5,4
1,18,,,34,2,4
1,19,,,68,4,4
1,20,,,17,1,4
1,21,,,68,4,4
1,22,,,68,5,5
1,23,,,34,2,5
1,24,,,68,5,5
1,25,,,68,5,5
1,26,,,68,3,5
1,27,,,68,3,5
1,28,,,68,5,5
1,29,,,34,1,5
1,30,,,68,5,5
1,31,,,68,5,5
1,32,,,68,3,5
1,33,,,68,5,5
1,34,,,68,5,5
1,35,,,68,5,5
1,36,,,102,7,5
1,37,,,68,5,5
1,38,,,34,1,5
1,39,,,68,5,5
1,40,,,68,5,5
1,41,,,68,5,5
1,42,,,68,5,5
1,43,,,34,1,5
1,44,,,68,3,5
1,45,,,68,5,5
1,46,,,68,5,5
1,47,,,68,5,5
1,48,,,68,5,5
1,49,,,68,5,5
1,50,,,34,1,5
1,51,,,154,5,5
1,52,,,34,2,5
1,53,,,68,5,5
1,54,,,68,5,5
1,55,,,68,5,5
1,56,,,68,5,5
1,57,,,190,6,5
1,58,,,34,2,5
1,59,,,68,3,5
2,32,,,,,1
2,26,,,,,1
2,1,,,,,1
2,33,,,,,1
2,19,,,,,1
2,2,,,,,1
2,3,,,,,1
2,27,,,,,1
2,18,,,,,1
2,4,,,,,1
2,25,,,,,1
2,20,,,,,1
2,58,,,,,1
2,8,2065/2,99,102,5,1
2,5,2065/2,99,68,4,1
2,6,2065/2,95,17,1,1
2,17,2066/1,95,102,5,1
2,9,2066/2,93,68,4,1
2,22,2066/2,80,68,4,1
2,23,2066/2,99,34,2,1
2,7,2066/2,99,34,1,1
2,31,2067/1,95,68,4,1
2,10,2067/1,91,68,4,1
2,24,2067/1,94,68,4,1
2,28,2067/1,83,68,4,1
2,30,2067/1,93,68,4,1
2,29,2067/1,98,34,1,1
2,11,2067/2,85,34,2,1
2,34,2067/2,91,68,4,1
2,36,2067/2,83,102,6,1
2,38,2067/2,98,34,1,1
2,37,2067/2,90,68,4,1
2,35,2067/2,94,68,4,1
2,21,2067/2,92,68,4,1
2,13,2065/2,96,34,2,2
2,60,2065/2,95,68,4,2
2,14,2065/2,99,34,1,2
2,15,2066/1,86,68,4,2
2,61,2066/1,93,68,4,2
2,16,2066/1,93,68,4,2
2,62,2066/1,97,68,4,2
2,63,2066/1,97,17,1,2
2,64,2066/2,75,68,4,2
2,65,2066/2,94,34,2,2
2,66,2066/2,85,68,4,2
2,67,2067/1,88,68,4,2
2,39,,,68,4,4
2,12,,,68,4,4
2,40,,,68,4,4
2,42,,,68,4,4
2,43,,,34,1,4
2,41,,,68,5,5
2,44,,,68,3,5
2,45,,,68,5,5
2,46,,,68,5,5
2,47,,,68,5,5
2,48,,,68,5,5
2,49,,,68,5,5
2,50,,,34,1,5
2,51,,,154,5,5
2,52,,,34,2,5
2,53,,,68,5,5
2,54,,,68,5,5
2,55,,,68,5,5
2,56,,,68,5,5
2,57,,,190,6,5
2,59,,,68,3,5
3,1,,,,,1
3,2,,,,,1
3,3,,,,,1
3,4,,,,,1
3,5,2065/2,72,68,4,1
3,6,2065/2,81,17,1,1
3,8,2066/1,68,102,5,1
